month,total_orders,canceled_orders,cancellation_rate
2016-09-01,4,2,0.50000000000000000000
2016-10-01,324,31,0.09567901234567901235
2016-12-01,1,0,0.00000000000000000000
2017-01-01,800,13,0.01625000000000000000
2017-02-01,1780,62,0.03483146067415730337
2017-03-01,2682,65,0.02423564504101416853
2017-04-01,2404,27,0.01123128119800332779
2017-05-01,3700,60,0.01621621621621621622
2017-06-01,3245,40,0.01232665639445300462
2017-07-01,4026,80,0.01987083954297069051
2017-08-01,4331,59,0.01362271992611406142
2017-09-01,4285,58,0.01353558926487747958
2017-10-01,4631,84,0.01813863096523429065
2017-11-01,7544,121,0.01603923647932131495
2017-12-01,5673,53,0.00934249955931605852
2018-01-01,7269,82,0.01128078140046773972
2018-02-01,6728,103,0.01530915576694411415
2018-03-01,7211,43,0.00596311191235612259
2018-04-01,6939,20,0.00288225969159821300
2018-05-01,6873,40,0.00581987487269023716
2018-06-01,6167,22,0.00356737473650072969
2018-07-01,6292,59,0.00937698664971392244
2018-08-01,6512,91,0.01397420147420147420
2018-09-01,16,15,0.93750000000000000000
2018-10-01,4,4,1.00000000000000000000
